Tempo,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17
3.0699999999999785,44,149,1,340,0,1,0,1,162,47,1,0,9352,2292,-11708,-74,118,-102
3.0799999999999783,45,169,0,332,0,0,1,1,163,47,0,2,9492,2316,-11664,-88,115,-89
3.089999999999978,17,114,1,293,0,1,1,1,163,24,1,0,9416,2356,-11516,-100,95,-96
3.099999999999978,0,96,1,260,0,1,1,1,162,1,1,0,9360,2396,-11616,-82,78,-109
3.1099999999999777,0,202,0,293,0,1,0,0,163,0,1,0,9428,2348,-11480,-87,95,-95
3.1199999999999775,33,545,0,519,1,0,0,1,163,43,0,1,9372,2360,-11564,-105,118,-88
3.1299999999999772,32,528,0,519,0,1,0,0,163,44,0,0,9416,2404,-11704,-103,94,-94
3.139999999999977,44,515,1,529,0,1,0,1,163,64,1,0,9412,2364,-11644,-101,107,-90
3.149999999999977,44,513,0,522,0,0,1,1,163,65,0,1,9392,2424,-11528,-84,89,-95
3.1599999999999766,78,401,2,523,1,1,0,1,162,84,0,1,9392,2268,-11692,-111,110,-110
3.1699999999999764,66,483,0,532,1,1,0,1,162,73,1,1,9388,2316,-11740,-94,86,-99
3.179999999999976,59,290,1,441,0,2,0,1,162,83,0,2,9524,2312,-11692,-88,118,-88
3.189999999999976,55,217,1,385,0,1,0,1,162,64,1,0,9468,2376,-11564,-89,108,-97
3.1999999999999758,45,149,1,339,0,1,1,1,163,47,1,0,9400,2332,-11632,-71,85,-104
3.2099999999999755,16,102,1,292,0,0,1,1,162,25,1,0,9424,2392,-11496,-61,111,-94
3.2199999999999753,0,92,1,260,0,1,1,1,163,1,1,0,9416,2356,-11660,-107,93,-110
3.229999999999975,0,156,1,281,1,0,0,0,163,0,0,1,9384,2228,-11716,-93,98,-87
3.239999999999975,0,518,0,491,1,1,0,0,162,6,0,0,9440,2352,-11696,-99,123,-84
3.2499999999999747,65,488,0,530,1,1,0,1,162,72,1,1,9440,2328,-11572,-76,97,-92
3.2599999999999745,60,292,1,441,0,1,0,1,162,84,0,1,9372,2380,-11700,-96,104,-105
3.2699999999999743,61,292,0,434,0,1,1,1,163,82,2,1,9392,2328,-11504,-74,93,-101
3.279999999999974,55,220,1,387,0,1,0,1,163,65,1,0,9356,2308,-11624,-65,77,-84
3.289999999999974,18,79,1,294,0,2,0,1,162,25,0,1,9440,2368,-11568,-89,108,-107
3.2999999999999736,0,78,1,259,0,1,1,0,163,2,1,0,9344,2316,-11524,-109,91,-90
3.3099999999999734,0,197,1,293,1,0,0,0,162,0,0,1,9364,2300,-11512,-85,94,-119
3.319999999999973,0,497,1,489,1,0,0,0,162,4,1,1,9340,2316,-11580,-91,113,-98
